date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:12:42	3561/3561	---M-Z	200	added ('OK')	text/html	etag:%22de9-55a257dd5b2c0-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/index.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/index.html	(from )
18:12:44	103/103	---M-Z	200	added ('OK')	text/plain	etag:%225f-37d5c4cdac180-gzip%22	http://web.cs.ucla.edu/robots.txt		(from )
18:12:45	774/774	---M-Z	200	added ('OK')	text/html	etag:%22306-55a257dd5b2c0-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/copyright.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/copyright.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/index.html)
18:12:46	2100/2100	---M-Z	200	added ('OK')	text/html	etag:%22834-55b604e0cc100-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/news.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/news.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/index.html)
18:12:47	7979/7979	---M-Z	200	added ('OK')	text/html	etag:%221f2b-55a257dd5b2c0-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/syllabus.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/syllabus.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/index.html)
18:12:48	8175/8175	---M-Z	200	added ('OK')	text/html	etag:%221fef-5505a5252f380-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/comm.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/comm.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/index.html)
18:12:49	4864/4864	---M-Z	200	added ('OK')	text/html	etag:%221300-55b6049c21f00-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/index.html)
18:12:50	2626/2626	---M-Z	200	added ('OK')	text/html	etag:%22a42-520471bc1b600-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/grading.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/grading.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/index.html)
18:12:51	237/237	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Nov%202017%2002:12:52%20GMT	http://web.cs.ucla.edu/classes/fall17/cs35L/malzantot@ucla.edu	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/malzantot@ucla.edu	(from http://web.cs.ucla.edu/classes/fall17/cs35L/index.html)
18:12:52	237/237	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Nov%202017%2002:12:53%20GMT	http://web.cs.ucla.edu/classes/fall17/cs35L/akabre@cs.ucla.edu	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/akabre@cs.ucla.edu	(from http://web.cs.ucla.edu/classes/fall17/cs35L/index.html)
18:12:59	239/239	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2027%20Nov%202017%2002:12:54%20GMT	http://web.cs.ucla.edu/classes/fall17/cs35L/ishaverma21@ucla.edu	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/ishaverma21@ucla.edu	(from http://web.cs.ucla.edu/classes/fall17/cs35L/index.html)
18:13:00	1814/1814	---M-Z	200	added ('OK')	text/html	etag:%22716-4ef1a161c8a80-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/mail-eggert.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/mail-eggert.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/index.html)
18:13:02	13624/13624	---M-Z	200	added ('OK')	text/html	etag:%223538-55a257de4f500-gzip%22	http://web.cs.ucla.edu/classes/fall17/cs35L/assign/assign1.html	./CS35L/web.cs.ucla.edu/classes/fall17/cs35L/assign/assign1.html	(from http://web.cs.ucla.edu/classes/fall17/cs35L/news.html)
